sample_names	estimate	error	lower	upper	name	model
L1S105	79.0424871479123	0.210444850115956	79.0081084435396	79.2226269109368	breakaway	Kemp
L1S140	79.0569472060824	0.245303793560652	79.010780701605	79.3008138430512	breakaway	Kemp
L1S208	92.0766587397429	0.287297273207909	92.014351224843	92.4094815908228	breakaway	Kemp
L1S257	89.5431389312918	0.800144681266257	89.0963242449904	92.062571616464	breakaway	Kemp
L1S281	94.4334012796436	0.708488418157863	94.0776796090784	96.4180949341173	breakaway	Kemp
L1S57	88.0423436060708	0.2101236019189	88.0080794767098	88.2219179582398	breakaway	Kemp
L1S76	79.1486199596456	0.399560178979855	79.0278616655683	79.7927699925513	breakaway	Kemp
L1S8	49.2516765344059	0.515831974516356	49.0476295405286	50.3298695991531	breakaway	Poisson
L2S155	119.60437543188	0.825298099688734	119.110109335123	122.317336011984	breakaway	Kemp
L2S175	132.299448322727	0.568341075284768	132.055998536658	133.601279307204	breakaway	Kemp
L2S204	106.662833849884	0.862312410334694	106.121090845459	109.628257040282	breakaway	Kemp
L2S222	147.105399058857	0.333129248129512	147.019995330042	147.555577806648	breakaway	Kemp
L2S240	59.0466870356313	0.221079082179121	59.0088871638185	59.2452615188085	breakaway	Kemp
L2S309	76.0686305170582	0.266440772127783	76.0131573990629	76.3579847239685	breakaway	Kemp
L2S357	76.2038090974307	1.22797184182898	75.2058129232137	82.0411338628724	breakaway	Kemp
L2S382	139.132757610143	0.37633841970658	139.024989925226	139.705267538483	breakaway	Kemp
L3S242	26.4032516375203	0.718352196057244	26.0680571299613	28.3893438241567	breakaway	Negative Binomial
L3S294	52.1480817496704	0.399281128250922	52.0277239914613	52.7909468813694	breakaway	Kemp
L3S313	66.0201373987341	0.14333829410386	66.0038920521402	66.1041904921019	breakaway	Kemp
L3S341	78.2556940317944	0.521986170441378	78.0481640616481	79.3574319868001	breakaway	Kemp
L3S360	73.0233854816926	0.154693484247979	73.004511988773	73.121206142459	breakaway	Kemp
L3S378	42.0484967522836	0.225430247607967	42.0092264601853	42.2549119526681	breakaway	Kemp
L4S112	173.674316821008	0.866895360949559	173.123673205385	176.676650683386	breakaway	Kemp
L4S137	173.656080213791	2.62363827178722	170.486578985834	197.471228554499	breakaway	Negative Binomial
L4S63	179.264732969121	2.39044077431733	176.454635876071	199.443995339255	breakaway	Negative Binomial
L5S104	32.3034184317282	0.579845599246992	32.055838962441	33.6487187563653	breakaway	Poisson
L5S155	25.2050498722741	0.47215445585587	25.0381666953253	26.1016266868596	breakaway	Poisson
L5S174	35.3333333333333	3.17358286988155	34.0754856638695	57.5511974942733	breakaway	Negative Binomial
L5S203	37.2125924149684	0.486759439154522	37.0389899290048	38.1591591997137	breakaway	Kemp
L5S222	33.2700018541434	0.540875655764556	33.0503584881136	34.4476407845384	breakaway	Poisson
L5S240	30.1428571428571	5.20163304357207	29.0341910618364	67.2006986279167	breakaway	Negative Binomial
L6S20	48.2369704651105	0.503106336506695	48.0445744988648	49.2598010693282	breakaway	Poisson
L6S68	54.4241298221166	0.676594653659179	54.0792862309169	56.268818985696	breakaway	Poisson
L6S93	64.3129334483068	0.589940005156044	64.0574650958848	65.7041186751963	breakaway	Kemp
